Number,Meta Analysis Name,URL,PMID,Conclusion,References,Date,Number of refs
1,Mortality in septic patients treated with short-acting betablockers: a comprehensive meta-analysis of randomized controlled trials,https://pmc.ncbi.nlm.nih.gov/articles/PMC11603935/,39605034,"In this meta-analysis, heart rate control with short-acting betablockers did not reduce mortality in septic patients. Underlying mechanisms should be further evaluated in future studies. These need to provide extensive data on hemodynamic monitoring, cardiac function, and individual patient data to support an individualized approach in order to identify patients that may benefit from this therapeutic regimen.","30188960, 37877587, 36765286, 23873274 26387030 32243865,  35066509","November 30, 2024",7
2,Does anticoagulation therapy improve outcomes in severe heart failure with reduced ejection fraction? A systematic review: Anticoagulation in severe heart failure: a systematic review,https://pubmed.ncbi.nlm.nih.gov/40213241/,40213241,Our meta-analysis elucidated that TNK may serve as an alternative for thrombolysis without increasing safety concerns. Its quicker administration and lower cost make TNK a viable option for patients with LVO ischemic stroke.,"37428494, 29694815, 28576782, 22435369, 31009339","March 31, 2025",5
3,The Effect of Oral Semaglutide on Cardiovascular Risk Factors in Patients with Type 2 Diabetes: A Systematic Review,https://pubmed.ncbi.nlm.nih.gov/40217690/,40217690,"The findings of this review demonstrated that regardless of randomized patient profiles across a variety of differently structured studies along with various comorbidities, age groups, and BMIs, once-daily oral semaglutide is a promising addition to the current T2DM treatment regimen in reducing cardiovascular risk factors, modifying disease parameters, and potentially reducing cardiovascular-related mortality in T2DM patients","31185157, 39200893, 37385279, 37780624, 38128857","March 31, 2025",5
4,Meta-Analysis of Brain Volumetric Abnormalities in Patients with Remitted Major Depressive Disorder,https://pubmed.ncbi.nlm.nih.gov/40226733/,40226733,"Overall, this meta-analysis demonstrated that patients with remitted MDD exhibited reduced GMV in the insula and frontal-parietal network and increased GMV in the reward circuit and temporal lobe after receiving medications and undergoing ECT. Our findings provide new insights into targeted treatment for residual symptoms based on neurobiology-based evidence, combined with anti-inflammatory medication, TMS, psychotherapy, and other treatment modalities.","24406440, 33621611, 25462395, 24427263,  23128153, 26125296, 36030219, 19931620, 21073959, 23620451, 28981882","May 31, 2024",11
5,The Effects of Various Types of Physical Exercise on Health Outcomes in Older Adults with Depression: A Systematic Review and Meta-Analysis of Controlled Trials,https://pmc.ncbi.nlm.nih.gov/articles/PMC11918806/#sec5,40226640,"This review demonstrates that exercise in older depressed adults has positive effects on a range of health-related outcomes, which appear to be specific to the type of exercise performed. We encourage clinicians to carefully consider the desired health benefits to ensure that the most appropriate exercise is prescribed.","29625012, 17164159, 26105535, 31427860, 20458104, 21358389, 31906021, 11487602, 28110207, 16955451, 23643112, 29407540, 17134517, 23072658","June 30, 2024",14
6,Gluten-free diets for metabolic control of type 1 diabetes mellitus in children and adolescents: a systematic review and meta-analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC11995883/,40215289,"In conclusion, the systematic review and meta-analysis suggest that children and adolescents with T1DM and CD who adhere to a GFD may experience lower HbA1c levels and reduced insulin dosages compared to those following a standard diet. However, given the observational nature of the data and the lack of large randomized controlled trials, these findings should be interpreted with caution. The quality of evidence for the reported outcomes is currently very low to low, underscoring the need for higher quality studies to validate these preliminary results. Future research, particularly large-scale randomized clinical trials, is warranted to confirm the potential benefits of a GFD in glycemic control for this population and to provide more definitive guidance for clinical practice.","20817171, 12087007, 27720243, 24117620, 28338063, 31984648, 35243123","March 30, 2025",7
7,Evaluation of the effect of metformin as a radiosensitiser in solid tumours: A systematic review,https://pmc.ncbi.nlm.nih.gov/articles/PMC11871473/,40028423,"Metformin is a drug with a known and favorable safety profile that in preclinical studies has shown a benefit in its use as a radiosensitizer in the treatment of solid tumors. In studies in real-life patients, metformin has shown benefit in tumors of prostate and gynecological origin, however, there are currently no clinical trials that have evaluated the benefit of metformin in combination with radiotherapy in solid tumors. The promising results of the use of this drug in different cancer treatment scenarios make it necessary to carry out future clinical trials that evaluate metformin in combination with radiotherapy for the improvement of the results of cancer treatments in terms of OS, PFS, and pCR.","22950385, 24133632, 24141625, 23287698, 24269517, 25337126, 25922712, 26091848, 26350367, 26254406, 26861738, 27011019, 26867881, 27789181, 31012989","February 28, 2025",15
8,Systematic Review of Left Ventricular Remodeling in Response to Hypoglycemic Medications: Assessing Changes in End-Systolic and End-Diastolic Diameters,https://pubmed.ncbi.nlm.nih.gov/39200254/,39200254,"In conclusion, this systematic review demonstrates that certain hypoglycemic medications, particularly Liraglutide and Dapagliflozin, can significantly improve cardiac dimensions and functions in patients with diabetes, suggesting their potential utility in managing cardiac comorbidities associated with diabetes. The evidence supports a nuanced approach to prescribing these medications, tailored to the individual patient’s cardiovascular risk and existing comorbidities, to maximize both glycemic and cardiac outcomes. Further high-quality, long-term randomized controlled trials are needed to expand upon these findings and better define the mechanisms through which these medications exert their cardioprotective effects.","26573925, 28490337, 28592726, 30348145, 31321581, 33413355, 34548011, 35629062, 37940879, 38552078","August 31, 2024",8
9,Effect of ABCG2 c.421 C> A (rs2231142) single nucleotide polymorphisms on the lipid-modulating efficacy of rosuvastatin: a meta-analysis,https://pubmed.ncbi.nlm.nih.gov/40082758/,40082758,"In summary, although the current study provides important evidence for the effect of ABCG2 c.421C > A SNP on the lipid-lowering effect of RST, more large-sample, multicenter studies are needed to validate the reliability of the results. Future studies should focus on sample size, ethnic diversity, safety data, and gene-environment interactions to provide more comprehensive clinical guidance.","20130569, 31857620, 20207952, 28627804, 23930675, 32361904","March 31, 2025",6
10,"Systematic Review on Efficacy, Effectiveness, and Safety of Pitavastatin in Dyslipidemia in Asia",https://pubmed.ncbi.nlm.nih.gov/39791666/#full-view-affiliation-2,39791666,"Pitavastatin at 1 mg, 2 mg, and 4 mg effectively treats dyslipidemia by significantly reducing LDL-C levels after at least two months of treatment. The higher the dose, the more significant the reduction in LDL. The lowest dose of pitavastatin can reduce LDL-C by 37% to 38%, comparable to statins with moderate intensity. A dose of 2 mg can reduce LDL-C by approximately 33% to 43%, similar to the efficacy of atorvastatin 10 mg in short-term treatment (2–4 months), although its long-term effectiveness (over 1 year) remains uncertain. Pitavastatin at 2–4 mg is as effective in lowering LDL-C as rosuvastatin at 2.5–5 mg. However, pitavastatin is less effective at a fixed dose of 2 mg than rosuvastatin, 5 mg, and 10 mg. Compared to less commonly used statins, pitavastatin 2 mg is more effective than pravastatin 10 mg and equivalent to pravastatin 40 mg and simvastatin 20 mg after 2–3 months of treatment.
Adverse effects on the musculoskeletal system, such as myalgia, were observed with pitavastatin use, but the incidence was very low, and the symptoms were mild. Biochemical parameters indicated increases in liver enzymes (AST, ALT) and creatine kinase levels, suggesting muscle toxicity potentially, but these increases did not exceed the allowable thresholds. Most trials did not report any serious adverse effects, such as rhabdomyolysis. Overall, pitavastatin was well tolerated and safe throughout the treatment period.","33261312, 19075492, 24586502, 28029012, 16733299, 20179259, 21498906, 22836071, 11996957, 16154486, 18158077, 31987664, 23672789, 24098467, 18472103, 18640465, 12040967","December 31, 2024",17
